"TicketNumber","Summary","Status","Priority","ReportedBy","AssignedTo","ClosedAt","CreatedAt"
"TKT-2263","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-12-09T15:57:21Z"
"TKT-2264","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-09T17:42:21Z"
"TKT-2265","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-09T19:27:21Z"
"TKT-2266","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2018-12-30T03:57:21Z","2025-12-09T21:12:21Z"
"TKT-2267","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-09T22:57:21Z"
"TKT-2268","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-10T00:42:21Z"
"TKT-2269","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-10T02:27:21Z"
"TKT-2270","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-01-03T07:57:21Z","2025-12-10T04:12:21Z"
"TKT-2271","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-10T05:57:21Z"
"TKT-2272","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-12-10T07:42:21Z"
"TKT-2273","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-12-10T09:27:21Z"
"TKT-2274","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-01-07T11:57:21Z","2025-12-10T11:12:21Z"
"TKT-2275","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-12-10T12:57:21Z"
"TKT-2276","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-10T14:42:21Z"
"TKT-2277","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-10T16:27:21Z"
"TKT-2278","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-01-11T15:57:21Z","2025-12-10T18:12:21Z"
"TKT-2279","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-12-10T19:57:21Z"
"TKT-2280","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-10T21:42:21Z"
"TKT-2281","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-10T23:27:21Z"
"TKT-2282","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2019-01-15T19:57:21Z","2025-12-11T01:12:21Z"
"TKT-2283","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-12-11T02:57:21Z"
"TKT-2284","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-11T04:42:21Z"
"TKT-2285","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-11T06:27:21Z"
"TKT-2286","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2019-01-18T23:57:21Z","2025-12-11T08:12:21Z"
"TKT-2287","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-11T09:57:21Z"
"TKT-2288","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-11T11:42:21Z"
"TKT-2289","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-11T13:27:21Z"
"TKT-2290","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-01-23T03:57:21Z","2025-12-11T15:12:21Z"
"TKT-2291","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-11T16:57:21Z"
"TKT-2292","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-12-11T18:42:21Z"
"TKT-2293","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-12-11T20:27:21Z"
"TKT-2294","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-01-27T07:57:21Z","2025-12-11T22:12:21Z"
"TKT-2295","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-12-11T23:57:21Z"
"TKT-2296","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-12T01:42:21Z"
"TKT-2297","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-12T03:27:21Z"
"TKT-2298","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-01-31T11:57:21Z","2025-12-12T05:12:21Z"
"TKT-2299","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-12-12T06:57:21Z"
"TKT-2300","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-12T08:42:21Z"
"TKT-2301","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-12T10:27:21Z"
"TKT-2302","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2019-02-04T15:57:21Z","2025-12-12T12:12:21Z"
"TKT-2303","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-12-12T13:57:21Z"
"TKT-2304","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-12T15:42:21Z"
"TKT-2305","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-12T17:27:21Z"
"TKT-2306","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2019-02-08T19:57:21Z","2025-12-12T19:12:21Z"
"TKT-2307","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-12T20:57:21Z"
"TKT-2308","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-12T22:42:21Z"
"TKT-2309","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-13T00:27:21Z"
"TKT-2310","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-02-11T23:57:21Z","2025-12-13T02:12:21Z"
"TKT-2311","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-13T03:57:21Z"
"TKT-2312","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-12-13T05:42:21Z"
"TKT-2313","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-12-13T07:27:21Z"
"TKT-2314","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-02-16T03:57:21Z","2025-12-13T09:12:21Z"
"TKT-2315","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-12-13T10:57:21Z"
"TKT-2316","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-13T12:42:21Z"
"TKT-2317","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-13T14:27:21Z"
"TKT-2318","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-02-20T07:57:21Z","2025-12-13T16:12:21Z"
"TKT-2319","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-12-13T17:57:21Z"
"TKT-2320","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-13T19:42:21Z"
"TKT-2321","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-13T21:27:21Z"
"TKT-2322","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2019-02-24T11:57:21Z","2025-12-13T23:12:21Z"
"TKT-2323","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-12-14T00:57:21Z"
"TKT-2324","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-14T02:42:21Z"
"TKT-2325","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-14T04:27:21Z"
"TKT-2326","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2019-02-28T15:57:21Z","2025-12-14T06:12:21Z"
"TKT-2327","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-14T07:57:21Z"
"TKT-2328","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-14T09:42:21Z"
"TKT-2329","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-14T11:27:21Z"
"TKT-2330","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-03-04T19:57:21Z","2025-12-14T13:12:21Z"
"TKT-2331","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-14T14:57:21Z"
"TKT-2332","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-12-14T16:42:21Z"
"TKT-2333","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-12-14T18:27:21Z"
"TKT-2334","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-03-07T23:57:21Z","2025-12-14T20:12:21Z"
"TKT-2335","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-12-14T21:57:21Z"
"TKT-2336","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-14T23:42:21Z"
"TKT-2337","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-15T01:27:21Z"
"TKT-2338","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-03-12T03:57:21Z","2025-12-15T03:12:21Z"
"TKT-2339","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-12-15T04:57:21Z"
"TKT-2340","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-15T06:42:21Z"
"TKT-2341","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-15T08:27:21Z"
"TKT-2342","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2019-03-16T07:57:21Z","2025-12-15T10:12:21Z"
"TKT-2343","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-12-15T11:57:21Z"
"TKT-2344","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-15T13:42:21Z"
"TKT-2345","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-15T15:27:21Z"
"TKT-2346","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2019-03-20T11:57:21Z","2025-12-15T17:12:21Z"
"TKT-2347","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-15T18:57:21Z"
"TKT-2348","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-15T20:42:21Z"
"TKT-2349","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-15T22:27:21Z"
"TKT-2350","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-03-24T15:57:21Z","2025-12-16T00:12:21Z"
"TKT-2351","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-16T01:57:21Z"
"TKT-2352","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-12-16T03:42:21Z"
"TKT-2353","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-12-16T05:27:21Z"
"TKT-2354","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-03-28T19:57:21Z","2025-12-16T07:12:21Z"
"TKT-2355","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-12-16T08:57:21Z"
"TKT-2356","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-16T10:42:21Z"
"TKT-2357","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-16T12:27:21Z"
"TKT-2358","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-03-31T23:57:21Z","2025-12-16T14:12:21Z"
"TKT-2359","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-12-16T15:57:21Z"
"TKT-2360","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-16T17:42:21Z"
"TKT-2361","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-16T19:27:21Z"
"TKT-2362","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2019-04-05T03:57:21Z","2025-12-16T21:12:21Z"
"TKT-2363","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-12-16T22:57:21Z"
"TKT-2364","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-17T00:42:21Z"
"TKT-2365","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-17T02:27:21Z"
"TKT-2366","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2019-04-09T07:57:21Z","2025-12-17T04:12:21Z"
"TKT-2367","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-17T05:57:21Z"
"TKT-2368","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-17T07:42:21Z"
"TKT-2369","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-17T09:27:21Z"
"TKT-2370","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-04-13T11:57:21Z","2025-12-17T11:12:21Z"
"TKT-2371","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-17T12:57:21Z"
"TKT-2372","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-12-17T14:42:21Z"
"TKT-2373","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-12-17T16:27:21Z"
"TKT-2374","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-04-17T15:57:21Z","2025-12-17T18:12:21Z"
"TKT-2375","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-12-17T19:57:21Z"
"TKT-2376","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-17T21:42:21Z"
"TKT-2377","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-17T23:27:21Z"
"TKT-2378","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-04-21T19:57:21Z","2025-12-18T01:12:21Z"
"TKT-2379","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-12-18T02:57:21Z"
"TKT-2380","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-18T04:42:21Z"
"TKT-2381","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-18T06:27:21Z"
"TKT-2382","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2019-04-24T23:57:21Z","2025-12-18T08:12:21Z"
"TKT-2383","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-12-18T09:57:21Z"
"TKT-2384","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-18T11:42:21Z"
"TKT-2385","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-18T13:27:21Z"
"TKT-2386","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2019-04-29T03:57:21Z","2025-12-18T15:12:21Z"
"TKT-2387","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-18T16:57:21Z"
"TKT-2388","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-18T18:42:21Z"
"TKT-2389","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-18T20:27:21Z"
"TKT-2390","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-05-03T07:57:21Z","2025-12-18T22:12:21Z"
"TKT-2391","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-18T23:57:21Z"
"TKT-2392","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-12-19T01:42:21Z"
"TKT-2393","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-12-19T03:27:21Z"
"TKT-2394","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-05-07T11:57:21Z","2025-12-19T05:12:21Z"
"TKT-2395","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-12-19T06:57:21Z"
"TKT-2396","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-19T08:42:21Z"
"TKT-2397","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-19T10:27:21Z"
"TKT-2398","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-05-11T15:57:21Z","2025-12-19T12:12:21Z"
"TKT-2399","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-12-19T13:57:21Z"
"TKT-2400","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-19T15:42:21Z"
"TKT-2401","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-19T17:27:21Z"
"TKT-2402","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2019-05-15T19:57:21Z","2025-12-19T19:12:21Z"
"TKT-2403","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-12-19T20:57:21Z"
"TKT-2404","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-19T22:42:21Z"
"TKT-2405","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-20T00:27:21Z"
"TKT-2406","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2019-05-18T23:57:21Z","2025-12-20T02:12:21Z"
"TKT-2407","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-20T03:57:21Z"
"TKT-2408","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-20T05:42:21Z"
"TKT-2409","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-20T07:27:21Z"
"TKT-2410","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-05-23T03:57:21Z","2025-12-20T09:12:21Z"
"TKT-2411","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-20T10:57:21Z"
"TKT-2412","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-12-20T12:42:21Z"
"TKT-2413","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-12-20T14:27:21Z"
"TKT-2414","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-05-27T07:57:21Z","2025-12-20T16:12:21Z"
"TKT-2415","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-12-20T17:57:21Z"
"TKT-2416","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-20T19:42:21Z"
"TKT-2417","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-20T21:27:21Z"
"TKT-2418","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-05-31T11:57:21Z","2025-12-20T23:12:21Z"
"TKT-2419","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-12-21T00:57:21Z"
"TKT-2420","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-21T02:42:21Z"
"TKT-2421","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-21T04:27:21Z"
"TKT-2422","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2019-06-04T15:57:21Z","2025-12-21T06:12:21Z"
"TKT-2423","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-12-21T07:57:21Z"
"TKT-2424","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-21T09:42:21Z"
"TKT-2425","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-21T11:27:21Z"
"TKT-2426","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2019-06-08T19:57:21Z","2025-12-21T13:12:21Z"
"TKT-2427","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-21T14:57:21Z"
"TKT-2428","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-21T16:42:21Z"
"TKT-2429","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-21T18:27:21Z"
"TKT-2430","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-06-11T23:57:21Z","2025-12-21T20:12:21Z"
"TKT-2431","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-21T21:57:21Z"
"TKT-2432","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-12-21T23:42:21Z"
"TKT-2433","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-12-22T01:27:21Z"
"TKT-2434","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-06-16T03:57:21Z","2025-12-22T03:12:21Z"
"TKT-2435","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-12-22T04:57:21Z"
"TKT-2436","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-22T06:42:21Z"
"TKT-2437","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-22T08:27:21Z"
"TKT-2438","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-06-20T07:57:21Z","2025-12-22T10:12:21Z"
"TKT-2439","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-12-22T11:57:21Z"
"TKT-2440","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-22T13:42:21Z"
"TKT-2441","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-22T15:27:21Z"
"TKT-2442","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2019-06-24T11:57:21Z","2025-12-22T17:12:21Z"
"TKT-2443","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-12-22T18:57:21Z"
"TKT-2444","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-22T20:42:21Z"
"TKT-2445","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-22T22:27:21Z"
"TKT-2446","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2019-06-28T15:57:21Z","2025-12-23T00:12:21Z"
"TKT-2447","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-23T01:57:21Z"
"TKT-2448","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-23T03:42:21Z"
"TKT-2449","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-23T05:27:21Z"
"TKT-2450","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-07-02T19:57:21Z","2025-12-23T07:12:21Z"
"TKT-2451","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-23T08:57:21Z"
"TKT-2452","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-12-23T10:42:21Z"
"TKT-2453","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-12-23T12:27:21Z"
"TKT-2454","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-07-05T23:57:21Z","2025-12-23T14:12:21Z"
"TKT-2455","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-12-23T15:57:21Z"
"TKT-2456","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-23T17:42:21Z"
"TKT-2457","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-23T19:27:21Z"
"TKT-2458","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-07-10T03:57:21Z","2025-12-23T21:12:21Z"
"TKT-2459","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-12-23T22:57:21Z"
"TKT-2460","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-24T00:42:21Z"
"TKT-2461","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-24T02:27:21Z"
"TKT-2462","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2019-07-14T07:57:21Z","2025-12-24T04:12:21Z"
"TKT-2463","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-12-24T05:57:21Z"
"TKT-2464","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-24T07:42:21Z"
"TKT-2465","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-24T09:27:21Z"
"TKT-2466","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2019-07-18T11:57:21Z","2025-12-24T11:12:21Z"
"TKT-2467","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-12-24T12:57:21Z"
"TKT-2468","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-12-24T14:42:21Z"
"TKT-2469","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-24T16:27:21Z"
"TKT-2470","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2019-07-22T15:57:21Z","2025-12-24T18:12:21Z"
"TKT-2471","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-12-24T19:57:21Z"
"TKT-2472","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-12-24T21:42:21Z"
"TKT-2473","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-12-24T23:27:21Z"
"TKT-2474","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2019-07-26T19:57:21Z","2025-12-25T01:12:21Z"
"TKT-2475","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-12-25T02:57:21Z"
"TKT-2476","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-12-25T04:42:21Z"
"TKT-2477","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-25T06:27:21Z"
"TKT-2478","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2019-07-29T23:57:21Z","2025-12-25T08:12:21Z"
"TKT-2479","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-12-25T09:57:21Z"
"TKT-2480","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-12-25T11:42:21Z"
"TKT-2481","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-25T13:27:21Z"
"TKT-2482","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2019-08-03T03:57:21Z","2025-12-25T15:12:21Z"
"TKT-2483","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-12-25T16:57:21Z"
"TKT-2484","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-12-25T18:42:21Z"
"TKT-2485","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-12-25T20:27:21Z"
